Age,Gender,Socioeconomic_Status,Attendance_Percentage,Study_Hours_Per_Week,Previous_Term_Grade,Continuous_Assessment_Score,Performance_Status
22,Female,Low,79.3,13.9,82.7,32.4,Excellent
18,Male,High,88.3,4.9,73.5,23.3,Average
20,Male,Medium,80.9,8.1,74.2,21.7,Average
18,Male,Medium,59.5,23.5,61.5,26.9,Average
19,Male,Medium,98.2,23.7,54.0,25.3,Average
21,Male,Low,86.7,15.4,65.0,24.0,Average
19,Male,Low,89.4,6.1,61.3,26.1,Average
18,Female,Medium,80.3,9.6,68.0,25.2,Average
24,Male,Medium,90.3,6.9,57.2,23.9,Average
18,Female,High,100.0,6.7,80.1,29.7,Excellent
22,Female,Medium,77.6,25.1,61.2,17.8,Average
20,Female,Low,100.0,25.3,65.6,20.4,Average
20,Female,Medium,89.0,9.4,69.8,21.1,Average
19,Female,Medium,76.3,15.0,83.5,19.7,Average
21,Male,Medium,100.0,8.6,91.1,25.4,Excellent
24,Male,Medium,88.9,14.9,91.9,27.5,Excellent
23,Male,High,91.8,23.2,54.6,15.2,Average
20,Female,Medium,82.3,20.4,65.5,22.6,Average
22,Male,Medium,77.0,19.0,63.2,23.4,Average
19,Male,Medium,86.7,14.0,74.4,23.6,Average
19,Male,High,100.0,21.3,73.7,18.6,Average
23,Male,Medium,81.9,18.2,63.0,23.4,Average
22,Male,Low,84.7,17.0,62.1,20.4,Average
21,Female,Medium,99.6,14.4,58.0,23.3,Average
22,Male,Medium,82.0,16.6,38.2,16.4,At-Risk
21,Female,Medium,90.1,16.4,54.4,23.4,Average
22,Female,Medium,93.8,12.3,80.4,21.4,Excellent
22,Female,Medium,83.0,11.1,87.6,23.7,Excellent
18,Female,Low,88.1,10.0,86.2,26.5,Excellent
19,Female,Medium,91.6,10.3,80.9,24.8,Excellent
